top_k,avg_latency_ms,p95_latency_ms,avg_tokens,avg_retrieval_score,avg_answer_quality,success_rate
3,1850.0749588012695,2561.1868619918823,639.1,0.5981794888774554,1.0,1.0
5,2068.16885471344,2586.900043487549,929.4,0.5981475472450256,1.0,1.0
7,2190.0952577590942,2822.2251772880554,1220.0,0.5981331058910915,1.0,1.0
10,1924.6571779251099,2401.5315175056453,1666.9,0.4735695691406727,1.0,1.0
